salaries|company|location|position
129000|Avetta|Houston, TX|Sales Solution Engineer
105000|MapR|Houston, TX|Data Engineer - Solution Design
52000|Lockheed Martin|Houston, TX|Software Engineering Intern
79000|Oracle|Houston, TX|Sr. Cloud QA Engineer
84000|Chase|Houston, TX|Java Software Developer
75000|CSAT Solutions|Houston, TX|Software Engineer 2
43000|IBM|Houston, TX|Computer Engineering Intern
72000|Lockheed Martin|Houston, TX|Software Engineering Asc
70000|IBM|Houston, TX|DevOps Network System Engineer Threat Intelligence
122000|Robert Half Technology|Houston, TX|Data Scientist
75000|IBM|Houston, TX|Watson Health - Healthcare BA/QA Engineer
88000|Robert Half Technology|Houston, TX|Senior Software Engineer
92000|Chase|Houston, TX|Software Engineering - Java/Spring
115000|JPMorgan Chase&Co.|Houston, TX|Senior Software Engineer Big Data Python
94000|JPMorgan Chase|Houston, TX|Grace Hopper- Software Engineering
112000|CollabNet, Inc.|Houston, TX|Senior Software Engineer (Python + JavaScript stack)
106000|Schlumberger|Houston, TX|Cloud Software Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Java/Go Software Engineer
144000|Quantum Reservoir Impact|Houston, TX|Petroleum Engineering Quant--Contractor Position
92000|Rimkus Consulting|Houston, TX|Mechanical Engineer, PE (Wind Turbine Power Generation)
92000|CenterPoint Energy|Houston, TX|Transmission Projects Engineer
117000|Weatherford|Houston, TX|Software QA Engineer III -
167000|Wood Mackenzie|Houston, TX|Principal Data Engineer
108000|EOG|Houston, TX|Sr. Associate Data Engineer
53000|Revature|Houston, TX|Entry Level Software Engineer
59000|HP Inc.|Houston, TX|Application Developer Intern
95000|Mei Inc|Houston, TX|HHPC - Project Engineer
81000|Empyrean Benefit Solutions|Houston, TX|Software Engineer (C#)
94000|J.P. Morgan|Houston, TX|Java Software Engineer - Middle Office
85000|Wolters Kluwer|Houston, TX|Software Development Engineer in Test (SDET)
74000|C&J Energy Services|Houston, TX|Software Engineer - MDT
100000|Harris Health System|Houston, TX|Software Engineer III - Web Solutions
95000|Exxon Mobile|Houston, TX|Students Seeking Data Scientist Internship Opportunities
97000|Rockwell Automation|Houston, TX|Engineer
54000|Arthur Lawrence|Houston, TX|.NET Developer / Support Analyst
86000|Sysco|Houston, TX|Sr. Quality Engineer
81000|Hewlett Packard Enterprise|Houston, TX|Systems Engineer
120000|Marathon Oil|Houston, TX|Engineering Intern
106000|Schweitzer Engineering Laboratories|Houston, TX|Project Engineer I/II/III - Automation
108000|EOG Resources|Houston, TX|Assoc Data Engineer Sr
65000|GSM|Houston, TX|Sr Software Product Trainer
119000|IBM|Houston, TX|Senior Software Engineer (Java) IBM Cloud Garage
55000|Prolim Global|Houston, TX|JPC 1203 - Test Engineer
71000|ARCADIS US|Houston, TX|Project Civil Engineer
61000|Texas Instruments|Houston, TX|Software Engineering Intern
63000|AVEVA|Houston, TX|Global Software Support Engineer - SCADA
87000|National Oilwell Varco|Houston, TX|Software Engineer
94000|Johnson & Johnson|Houston, TX|Senior R&D Design Engineer - Center for Device Innovation @ Texas Medical Center (1 of 2)
72000|Lockwood, Andrews, & Newnam|Houston, TX|Engineer I
82000|PROS|Houston, TX|Quality Engineer (EG)
87000|Howden Roots, LLC|Houston, TX|Application Engineer
108000|Chase|Houston, TX|Senior Java Software Engineer
79000|SUN SOFT TECHNOLOGIES|Stafford, TX|Sr. Software Engineer
82000|LMC|Houston, TX|Field Engineer
75000|The Aerospace Corporation|Houston, TX|Data Analytics Software Engineer
93000|Carpenter Technology Corporation|Houston, TX|Downhole Design Engineer Houston, TX OR Nisku, Alberta - CANADA
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer - Core Java
94000|JPMorgan Chase&Co.|Houston, TX|Java Software Engineer - Middle Office/Equities
79000|Oracle|Houston, TX|Sr. Cloud QA Engineer
72000|Centerpoint Energy|Houston, TX|CIVIL ENGINEER CO-OP
91000|ARi|Houston, TX|HMi Software Development Engineer
104000|Jacobs|Houston, TX|Software Developer
108000|Ecolab|Sugar Land, TX|Staff Scientist
88000|IHS Markit|Houston, TX|Senior Software Engineer - .NET
82000|National Oilwell Varco|Houston, TX|Software/Electrical Engineer
107000|CACI International|Houston, TX|Space Vehicle Orbiting Platform Flight Software Architect and Systems Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineering - Java/Spring
91000|Harris Health System|Houston, TX|EPSi ERP Software Engineer
64000|Robert Half Technology|Houston, TX|Jr. Software Engineer
75000|Jacobs|Houston, TX|Orion Navigation Backup Flight Software Engineer
92000|American International Group, Inc.|Houston, TX|Senior Software Developer
94000|Burns & McDonnell|Houston, TX|Staff Transmission Planning Engineer
77000|Robert Half Technology|Houston, TX|VoIP Field Engineer
88000|American Cybersystems|Houston, TX|Java Software Engineer
98000|Crossover for Work|Houston, TX|Senior Presales Engineer ($200K/yr) - Online Hiring Event
88000|CACI International|Houston, TX|EVA Space Suit Software Simulation Engineer
78000|CACI International|Houston, TX|Orion BFS Flight Software Development Engineer
92000|Chase|Houston, TX|.Net Software Engineer
110000|LivaNova|Houston, TX|Senior Software Engineer
123000|AvidXchange|Houston, TX|Software Engineering - Senior Software Engineer
75000|Arup|Houston, TX|Graduate Rail Engineer
95000|AT&T|Houston, TX|Senior-Network Design Engineer+
93000|HP Inc.|Houston, TX|R&D Senior Software Developer
114000|JPMorgan Chase|Houston, TX|Java Software Architect
85000|Accenture|Houston, TX|Emerging Technology - Software Innovation Specialist
103000|Network Objects|Houston, TX|Azure Data Engineer
112000|Carbo|Houston, TX|Software Developer, FRACPRO
146000|Two Sigma|Houston, TX|Software Engineer
92000|Chase|Houston, TX|Software Engineer- Java/Python
94000|SGT|Houston, TX|Junior Software Engineer at NASA (Engineer I)
105000|Accenture|Houston, TX|Storage Engineer
92000|PAS Global, LLC|Houston, TX|Application Engineer (Contract Role)
79000|Schweitzer Engineering Laboratories|Houston, TX|Application Engineer - Protection
67000|Flow-Cal, Inc.|Houston, TX|Software Developer I
94000|JPMorgan Chase|Houston, TX|.Net/Web Software Engineer
149000|Hortonworks|Houston, TX|Solutions Engineer
76000|Rimkus Consulting|Houston, TX|Engineering Associate
85000|Bechtel|Houston, TX|Project Engineer/Process Systems
138000|Marathon Oil|Houston, TX|Adv Reservoir Engineer
48000|Reynolds and Reynolds|Houston, TX|Entry Level Software Developer
101000|Rockwell Automation|Houston, TX|Embedded Software Project Engineer
123000|AvidXchange|Houston, TX|Software Engineering - Senior Software Engineer
92000|Chase|Houston, TX|Software Engineering
64000|Sovereign Consulting|Houston, TX|Civil / Environmental Engineer
96000|Jacobs|Houston, TX|Automation Engineer
92000|Chase|Houston, TX|Java Software Engineer
85000|Wolters Kluwer|Houston, TX|Software Development Engineer in Test
54000|Terracon|Houston, TX|Field Engineer
81000|Pantheon (Virginia)|Houston, TX|Control Systems Engineer
113000|TransCore|Houston, TX|Sr. Software Engineer
130000|Microsoft Corporation|Houston, TX|Senior Software Engineer
75000|ProBuild|Houston, TX|Software Engineer I
92000|Chase|Houston, TX|Software Engineer - Java/Hadoop
97000|Patterson-UTI|Houston, TX|Controls and Automation Engineer
92000|Chase|Houston, TX|Software Engineer- Python/Java
78000|Camelot Integrated Solutions|Houston, TX|Sr. Software Developer
87000|Enablon|Houston, TX|Pre-Sales Solutions Engineer
76000|Glumac|Houston, TX|Mechanical Engineer
73000|Decca Consulting|Houston, TX|T803-ESG-Tech Prof-Software Develop Prin : HALJP
86000|CACI International|Houston, TX|Space Vehicle Embedded Software Engineer
96000|National Oilwell Varco|Houston, TX|Control Systems Engineer
94000|Sysco|Houston, TX|Software Engineer - Informatica, FI
120000|Centrica|Houston, TX|DevOps Engineer
170000|Quantum Reservoir Impact|Houston, TX|Senior Advisor, Production Engineering Consultant
92000|Chase|Houston, TX|.Net/WPF Software Engineer
86000|GHD|Houston, TX|Automation Engineer
192000|SUSE|Houston, TX|SUSE Software Define Infrastructure - Architect / Strategist - USA
87000|National Oilwell Varco|Houston, TX|Software Engineer - NOVOS
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer- .Net Robotics
123000|HP Inc.|Houston, TX|R&D Lead Software Developer
79000|AVI-SPL|Houston, TX|AV Project Engineer
101000|Continental Corporation|Deer Park, TX|Senior Software Engineer
85000|SCI ITS|Houston, TX|Software Developer
75000|National Oilwell Varco|Houston, TX|Robotics and Automation Engineer
106000|J.P. Morgan|Houston, TX|Software Engineer - Big Data Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer Big Data
94000|Sysco|Houston, TX|Software Engineer/SEED/FE
94000|J.P. Morgan|Houston, TX|.Net Software Engineer
76000|National Oilwell Varco|Houston, TX|Mechanical Engineer
122000|PwC|Houston, TX|Senior Security Engineer
75000|TechnipFMC|Houston, TX|Senior Software Engineer Web Application
117000|Weatherford|Houston, TX|Software QA Engineer III
117000|Weatherford|Houston, TX|Software QA Engineer III
86000|Konecranes|Houston, TX|Sales Engineer
94000|J.P. Morgan|Houston, TX|Software Engineer- Java/Python
75000|Pantheon (Virginia)|Houston, TX|Senior C# .NET Software Engineer
82000|Cerner|Missouri City, TX|Academy Software Engineer
85000|Hewlett Packard Enterprise|Houston, TX|System/Software Engineer
103000|Halliburton|Houston, TX|United States Houston: Data Scientist
62000|Preventice Solutions|Houston, TX|SYSTEM TEST ENGINEER
95000|Infodat International|Houston, TX|Software Engineers IV
85000|Preventice Solutions|Houston, TX|SOFTWARE PERFORMANCE ENGINEER
69000|SAIPSIT|Houston, TX|Software Engineer (Datastage):
116000|Micro-Data Systems|Houston, TX|Senior Security Engineer
120000|Maana|Houston, TX|Data Scientist (Req. 10050)
126000|Schlumberger Ltd.|Houston, TX|Data Scientist
88000|Sonim Technologies, Inc.|Houston, TX|Sales Engineer
103000|PAS Global, LLC|Houston, TX|Project Engineer
55000|MORI Associates|Houston, TX|Jr System Engineer I
88000|Robert Half Technology|Houston, TX|Sr. Software Engineer
71000|MD Anderson|Houston, TX|Senior Research Scientist - Translational Molecular Pathology
115000|PROS|Houston, TX|Sr Systems Engineer
82000|PROS|Houston, TX|Quality Engineer (EG)
92000|Linde Engineering North America Inc|Houston, TX|Systems Engineer
118000|aeSolutions|Houston, TX|Engineering Sales & Business Development Manager
81000|Lockheed Martin|Houston, TX|Software Engineer
97000|Oracle|Houston, TX|Security Software Development Engineer Principal Member of Technical Staff (JoinOCI-SecurityOps)
94000|JPMorgan Chase|Houston, TX|Software Engineering
65000|ENGlobal|Houston, TX|Jr. Wonderware Software Analyst
94000|Sysco|Houston, TX|Software Engineer - SFDC, Customer Products
81000|New York Technology Partners Inc|Houston, TX|Controls Systems Engineer
93000|Loomis|Houston, TX|IT Security Engineer
75000|Rice University|Houston, TX|Associate Director of Development - Engineering
76000|Fiserv|Sugar Land, TX|Software Developer - ASP.Net
83000|CACI International|Houston, TX|Commercial Crew Launch Vehicle Flight Software Systems and Development Engineer
105000|Tessella|Houston, TX|Data Scientist / Software Developer
118000|Occidental Petroleum|Houston, TX|Production Engineer
43000|Flow-Cal, Inc.|Houston, TX|Software Development Intern
175000|Tessella|Houston, TX|Lead Data Scientist
117000|Chase|Houston, TX|Java Software Engineer Lead
82000|HNTB|Houston, TX|Engineer
82000|Leidos|Houston, TX|Software Engineer (NASA)
94000|Medtronic|Houston, TX|Field Services Engineer III
117000|Johnson & Johnson|Houston, TX|Staff R&D Design Engineer - Center for Device Innovation @ Texas Medical Center (1 of 2)
113000|Oracle|Houston, TX|2018-19 College Recruiting Software Engineer/Applications Engineer
126000|HP Inc.|Houston, TX|Software Architect, Device as a Service Modern IT Workflows & Solution Architecture
109000|IBM|Houston, TX|Development Engineer (Hardware)
107000|Chase|Houston, TX|Java Software Architect
136000|Quantum Reservoir Impact|Houston, TX|Data Scientist
56000|Schweitzer Engineering Laboratories|Houston, TX|Electrical Engineering Intern
56000|Continental Corporation|Deer Park, TX|Intern - Software Engineering
92000|Chase|Houston, TX|Grace Hopper- Software Engineering
53000|WhiteHat Security|Houston, TX|Technical Support Engineer (SAST)
111000|HP Inc.|Houston, TX|Application Security Engineer
51000|Agilent Technologies|Houston, TX|Software Quality Specialist
108000|SAIC|Houston, TX|Senior System Safety & Reliability Engineer
139000|Wood Mackenzie|Houston, TX|Principal Software Engineer
109000|Sysco|Houston, TX|Sr. Software Engineer
85000|Boeing|Missouri City, TX|Software Engineer - Architect
74000|Powell Industries|Houston, TX|Applications Engineer
