salaries|company|location|position
88000|Clever Devices|New York, NY|Senior QA Engineer
103000|Bloomberg|New York, NY|Machine Learning Research Scientist - Text Analytics
156000|Dataminr|New York, NY|Software Engineer, Data Infrastructure
120000|33Across|New York, NY|Software Engineer
72000|H2M|New York, NY|Project Structural Engineer
174000|Bloomberg|New York, NY|Senior Software Engineer - News Core Application
95000|New York University|New York, NY|Software Engineer
118000|VTS|New York, NY|Software Engineer
88000|Clever Devices|New York, NY|Senior QA Engineer
152000|Bloomberg|New York, NY|Data Services Software Engineer - Data & Analytics Platform Team
142000|Oscar Insurance|New York, NY|Software Engineer: Intern 2019 - Data/Systems
126000|LGS Innovations|Florham Park, NJ|Software Engineer
133000|Pivotal Software|New York, NY|Software Engineer - Greenplum Database - NYC
118000|Vidyo|Hackensack, NJ|Software Engineer
126000|Squarespace|New York, NY|Senior Software Engineer - Infrastructure Engineering
181000|Squarespace|New York, NY|Senior Software Engineer - Data
164000|Etsy|New York, NY|Software Engineering Manager
174000|Bloomberg|New York, NY|Senior Software Engineer - Distributed Systems
93000|IntraEdge|New York, NY|Software QA Automation Engineer
114000|Sandata Technologies|Port Washington, NY|Sr. Software Engineer SAM
76000|Clevertech|New York, NY|Back End Data Engineer
88000|Vestorly|New York, NY|Software Engineer
169000|Birchbox|New York, NY|Software Engineer (Backend)
111000|TD Ameritrade|Jersey City, NJ|Senior Software Developer - Emerging Technologies
133000|M Science|New York, NY|Software Engineer
69000|RTS Realtime Systems|New York, NY|2019 Software Engineer Intern
107000|IntraEdge|New York, NY|Backend Engineer
169000|PDT Partners|New York, NY|Software Engineer
138000|Amazon|New York, NY|Software Development Engineer II - AMZ
172000|Jump Trading|New York, NY|Software Engineer, Trading Infrastructure
68000|GameChanger|New York, NY|QA Analyst
102000|Calypso Technology|New York, NY|Software Engineer
132000|Bloomberg|New York, NY|SRE - Systems Engineering
157000|McAfee|New York, NY|Sr. Sales Engineer (NYC)
148000|Kensho|New York, NY|Data Scientist
137000|Google|New York, NY|Software Engineer
157000|Uber|New York, NY|Sr Software Engineer - Android
174000|Bloomberg|New York, NY|Bloomberg Engineering Instructor/ Senior Software Engineer
106000|24 Seven Talent|New York, NY|Software Engineer
126000|The Trade Desk|New York, NY|Software Engineer
171000|Two Sigma|New York, NY|Software Engineer
171000|Two Sigma|New York, NY|Front End Software Engineer: Insurance Engineering
140000|WeWork|New York, NY|Lead Security Engineer
